hashtag_id,tag_name,date,view_count,like_count,comment_count,share_count,video_count,engagement_rate,view_growth,like_growth,engagement_growth,trend_score
1,xuhuongtiktok,2026-05-10,41913127,2036164,18217,120363,32,5.188694100807747,0.0,0.0,0.0,13858.000000000002
1,xuhuongtiktok,2026-05-11,41950495,2038659,18239,120425,32,5.190219920164949,37368.0,2495.0,0.001525819357201641,33298.9
1,xuhuongtiktok,2026-05-12,41988927,2041430,18266,120845,32,5.193133294567558,38432.0,2771.0,0.0029133744026097474,33958.399999999994
1,xuhuongtiktok,2026-05-13,42013271,2042524,18279,121040,32,5.1932232271744985,24344.0,1094.0,8.993260694012406e-05,26432.1
2,phoidonam,2026-05-10,124124933,4817177,43817,367112,103,4.2119708196582,0.0,0.0,0.0,41092.9
2,phoidonam,2026-05-11,124258621,4818870,43822,367494,103,4.209113151117997,133688.0,1693.0,-0.0028576685402033064,108483.5
2,phoidonam,2026-05-12,124392808,4821178,43830,367880,103,4.2067447805604266,134187.0,2308.0,-0.0023683705575701097,108956.9
2,phoidonam,2026-05-13,124418014,4823023,43828,368052,103,4.207512071302536,25206.0,1845.0,0.000767290742109239,54344.5
3,outfitnam,2026-05-10,5587427,167444,1521,11241,12,3.2252048706488923,0.0,0.0,0.0,1276.2
3,outfitnam,2026-05-11,5691995,167480,1520,11250,12,3.1667274537789556,104568.0,36.0,-0.05847741686993668,53571.8
3,outfitnam,2026-05-12,5695127,167598,1520,11253,12,3.1671105548461775,3132.0,118.0,0.00038310106722194703,2878.7
3,outfitnam,2026-05-13,5698671,167616,1521,11255,12,3.165509437988359,3544.0,18.0,-0.0016011168578184964,3055.0
4,thoitrangnam,2026-05-10,48940072,2041044,20182,158244,60,4.535077011429877,0.0,0.0,0.0,17842.600000000002
4,thoitrangnam,2026-05-11,48957969,2041966,20185,158317,60,4.5354576588857745,17897.0,922.0,0.0003806474558976092,27075.300000000003
4,thoitrangnam,2026-05-12,49083842,2043470,20192,158546,60,4.527371664847025,125873.0,1504.0,-0.008085994038749433,81261.5
4,thoitrangnam,2026-05-13,49101559,2044546,20193,158618,60,4.528078130307876,17717.0,1076.0,0.000706465460851291,27062.4
5,baggyjeans,2026-05-10,38998200,2467813,42817,570763,11,7.901372168423872,0.0,0.0,0.0,61358.0
5,baggyjeans,2026-05-11,39002100,2468314,42719,570787,11,7.901676886586187,3900.0,501.0,0.00030471816231525395,63450.90000000001
5,baggyjeans,2026-05-12,39105300,2468678,42719,570908,11,7.882064377921551,103200.0,364.0,-0.019612508664636152,113071.9
5,baggyjeans,2026-05-13,39108400,2469193,42720,570922,11,7.8827947989998375,3100.0,515.0,0.0007304210782868026,63068.700000000004
6,phoido,2026-05-10,51376525,2258603,19334,208249,35,4.839147746190546,0.0,0.0,0.0,22758.300000000003
6,phoido,2026-05-11,51394662,2259493,19335,208357,35,4.839383809171003,18137.0,890.0,0.00023606298045653062,32104.7
6,phoido,2026-05-12,51507368,2260315,19331,208495,35,4.8306505424495665,112706.0,822.0,-0.008733266721436372,79382.2
6,phoido,2026-05-13,51617409,2261093,19333,208520,35,4.821911831686247,110041.0,778.0,-0.008738710763319446,78039.20000000001
8,sweater,2026-05-10,4108772,284363,996,25316,2,7.561259772686396,0.0,0.0,0.0,2631.2000000000003
8,sweater,2026-05-11,4109207,284582,997,25316,2,7.565813168863683,435.0,219.0,0.004553396177287006,2914.5000000000005
8,sweater,2026-05-12,4209338,284590,997,25416,2,7.388404687766892,100131.0,8.0,-0.17740848109679153,52709.2
8,sweater,2026-05-13,4209447,284798,998,25416,2,7.393178392986444,109.0,208.0,0.004773705219552227,2758.3
9,outfit,2026-05-10,573692616,39851005,226528,2984341,289,7.506088229822905,0.0,0.0,0.0,321086.9
9,outfit,2026-05-11,574298668,39879604,226556,2987373,289,7.503679762141326,606052.0,28599.0,-0.002408467681578763,632998.6
9,outfit,2026-05-12,574759370,39901741,226569,2989509,289,7.501890560736939,460702.0,22137.0,-0.0017892014043869864,558599.9
9,outfit,2026-05-13,575241829,39921273,226586,2991368,289,7.4993202424100485,482459.0,19532.0,-0.002570318326890586,568884.5
10,aokhoac,2026-05-10,5994500,312100,1612,30882,3,5.748501835265354,0.0,0.0,0.0,3249.4
10,aokhoac,2026-05-11,5994700,312300,1613,30885,3,5.751713054579369,200.0,200.0,0.0032112193140152456,3409.8
